NFHS_District,lower_name,GeoJSON_District,_merge
Jagitial ,jagitial,,left_only
,jaintia hills,Jaintia Hills,right_only
Jaipur ,jaipur,Jaipur,both
Jaisalmer ,jaisalmer,Jaisalmer,both
Jajapur ,jajapur,,left_only
,jajpur,Jajpur,right_only
Jalandhar ,jalandhar,Jalandhar,both
Jalaun ,jalaun,Jalaun,both
Jalgaon ,jalgaon,Jalgaon,both
Jalna ,jalna,Jalna,both
Jalor ,jalor,Jalor,both
Jalpaiguri ,jalpaiguri,Jalpaiguri,both
Jammu ,jammu,Jammu,both
Jamnagar ,jamnagar,Jamnagar,both
Jamtara ,jamtara,Jamtara,both
Jamui ,jamui,Jamui,both
Jangoan ,jangoan,,left_only
Janjgir - Champa ,janjgir - champa,,left_only
,janjgir-champa,Janjgir-Champa,right_only
Jashpur ,jashpur,Jashpur,both
Jaunpur ,jaunpur,Jaunpur,both
Jayashankar Bhupalapally ,jayashankar bhupalapally,,left_only
Jehanabad ,jehanabad,Jehanabad,both
Jhabua ,jhabua,Jhabua,both
Jhajjar ,jhajjar,Jhajjar,both
Jhalawar ,jhalawar,Jhalawar,both
Jhansi ,jhansi,Jhansi,both
Jharsuguda ,jharsuguda,Jharsuguda,both
Jhunjhunun ,jhunjhunun,Jhunjhunun,both
Jind ,jind,Jind,both
Jodhpur ,jodhpur,Jodhpur,both
Jogulamba Gadwal ,jogulamba gadwal,,left_only
Jorhat ,jorhat,Jorhat,both
Junagadh ,junagadh,Junagadh,both
Jyotiba Phule Nagar ,jyotiba phule nagar,Jyotiba Phule Nagar,both
Kabeerdham ,kabeerdham,,left_only
Kachchh ,kachchh,Kachchh,both
Kaimur (Bhabua) ,kaimur (bhabua),,left_only
Kaithal ,kaithal,Kaithal,both
Kalahandi ,kalahandi,Kalahandi,both
Kamareddy ,kamareddy,,left_only
Kamrup ,kamrup,Kamrup,both
Kamrup Metropolitan ,kamrup metropolitan,,left_only
Kancheepuram ,kancheepuram,Kancheepuram,both
Kandhamal ,kandhamal,Kandhamal,both
Kangra ,kangra,Kangra,both
,kanker,Kanker,right_only
Kannauj ,kannauj,Kannauj,both
Kanniyakumari ,kanniyakumari,Kanniyakumari,both
Kannur ,kannur,Kannur,both
,kanpur,Kanpur,right_only
Kanpur Dehat ,kanpur dehat,Kanpur Dehat,both
Kanpur Nagar ,kanpur nagar,,left_only
Kanshiram Nagar ,kanshiram nagar,,left_only
Kapurthala ,kapurthala,Kapurthala,both
Karaikal ,karaikal,Karaikal,both
Karauli ,karauli,Karauli,both
Karbi Anglong ,karbi anglong,Karbi Anglong,both
Kargil ,kargil,Kargil,both
Karimganj ,karimganj,Karimganj,both
Karimnagar ,karimnagar,Karimnagar,both
Karnal ,karnal,Karnal,both
Karur ,karur,Karur,both
Kasaragod ,kasaragod,Kasaragod,both
Kathua ,kathua,Kathua,both
Katihar ,katihar,Katihar,both
Katni ,katni,Katni,both
Kaushambi ,kaushambi,Kaushambi,both
,kavaratti,Kavaratti,right_only
,kawardha,Kawardha,right_only
Kendrapara ,kendrapara,Kendrapara,both
Kendujhar ,kendujhar,,left_only
,keonjhar,Keonjhar,right_only
Khagaria ,khagaria,Khagaria,both
Khammam ,khammam,Khammam,both
Khandwa (East Nimar) ,khandwa (east nimar),,left_only
Khargone (West Nimar) ,khargone (west nimar),,left_only
Kheda ,kheda,Kheda,both
Kheri ,kheri,,left_only
Khordha ,khordha,Khordha,both
Khowai ,khowai,,left_only
Khunti ,khunti,,left_only
Kinnaur ,kinnaur,Kinnaur,both
Kiphire ,kiphire,,left_only
Kishanganj ,kishanganj,Kishanganj,both
Kishtwar ,kishtwar,,left_only
Koch Bihar ,koch bihar,,left_only
,kochbihar,Kochbihar,right_only
Kodagaon ,kodagaon,,left_only
Kodagu ,kodagu,Kodagu,both
Kodarma ,kodarma,,left_only
,koderma,Koderma,right_only
Kohima ,kohima,Kohima,both
Kokrajhar ,kokrajhar,Kokrajhar,both
Kolar ,kolar,Kolar,both
Kolasib ,kolasib,Kolasib,both
Kolhapur ,kolhapur,Kolhapur,both
Kolkata ,kolkata,Kolkata,both
Kollam ,kollam,Kollam,both
Komaram Bheem Asifabad ,komaram bheem asifabad,,left_only
Koppal ,koppal,Koppal,both
Koraput ,koraput,Koraput,both
Korba ,korba,Korba,both
Koriya ,koriya,Koriya,both
Kota ,kota,Kota,both
Kottayam ,kottayam,Kottayam,both
Kozhikode ,kozhikode,Kozhikode,both
Kra Daadi ,kra daadi,,left_only
Krishna ,krishna,Krishna,both
Krishnagiri ,krishnagiri,,left_only
Kulgam ,kulgam,,left_only
Kullu ,kullu,Kullu,both
Kupwara ,kupwara,,left_only
,kupwara (muzaffarabad),Kupwara (Muzaffarabad),right_only
Kurnool ,kurnool,Kurnool,both
Kurukshetra ,kurukshetra,Kurukshetra,both
Kurung Kumey ,kurung kumey,Kurung Kumey,both
Kushinagar ,kushinagar,Kushinagar,both
,ladakh (leh),Ladakh (Leh),right_only
Lahul & Spiti ,lahul & spiti,,left_only
,lahul and spiti,Lahul and Spiti,right_only
Lakhimpur ,lakhimpur,Lakhimpur,both
,lakhimpur kheri,Lakhimpur Kheri,right_only
Lakhisarai ,lakhisarai,Lakhisarai,both
Lakshadweep ,lakshadweep,,left_only
Lalitpur ,lalitpur,Lalitpur,both
Latehar ,latehar,Latehar,both
Latur ,latur,Latur,both
